,Unnamed: 0,Date,Tweet Id,Reviews,Username,processed_reviews,compound,neg,neu,pos,Sentiment
0,0,2022-04-09 17:45:09+00:00,1.51285e+18,The UK has a new omnicron variant XE. How many more variants until we make it to Elon Musk &amp; Grimes’ Kid name?,glc299,the uk has a new omnicron variant xe how many more variants until we make it to elon musk amp grimes kid name,-0.25,0.083,0.917,0.0,Negative
1,1,2022-04-09 17:44:48+00:00,1.51285e+18,Dude came up to me just now at the gym telling me he want to get to know me but I look unapproachable! That’s the point u dumb shit!,Fallen_Cherub,dude came up to me just now at the gym telling me he want to get to know me but i look unapproachable that s the point u dumb shit,-0.8807,0.249,0.72,0.031,Negative
2,2,2022-04-09 17:35:15+00:00,1.51285e+18,"_143  
This is Omnicron. Maximum duration of it is 72 hours. 
Éat grapes and drink lot of bottled water",Surinderbajaj99,this is omnicron maximum duration of it is hours at grapes and drink lot of bottled water,0.0,0.0,1.0,0.0,Neutral
3,3,2022-04-09 17:34:24+00:00,1.51285e+18,"8 7 I was asymptomatic with delta. I was vaccinated and boosted and yet omnicron hit me hard. Wasn’t hospitalized, but my lungs were on fire, hard to breathe, fast heart rate, and 2 mo later still not 100% normal breathing. It’s like a cold until it’s not. Only 42yo. Ymmv",n_fiction,i was asymptomatic with delta i was vaccinated and boosted and yet omnicron hit me hard wasn t hospitalized but my lungs were on fire hard to breathe fast heart rate and mo later still not normal breathing it s like a cold until it s not only yo ymmv,0.7845,0.097,0.725,0.178,Positive
4,4,2022-04-09 17:29:14+00:00,1.51285e+18,73  777 What exactly are you so afraid of? Nobody’s dying or getting very sick at all. Omnicron is the most common respiratory virus in the world and it’s a mild cold. Everybody is vaccinated. Lol you’re out of your mind,toodees2D,what exactly are you so afraid of nobody s dying or getting very sick at all omnicron is the most common respiratory virus in the world and it s a mild cold everybody is vaccinated lol you re out of your mind,-0.2006,0.077,0.862,0.06,Negative
5,5,2022-04-09 17:22:10+00:00,1.51284e+18, Omnicron ?,Sand0a__,omnicron,0.0,0.0,1.0,0.0,Neutral
6,6,2022-04-09 17:20:11+00:00,1.51284e+18,omnicron il a bien attrape ma veste je suis en pls,datselora,omnicron il a bien attrape ma veste je suis en pls,0.0772,0.0,0.885,0.115,Positive
7,7,2022-04-09 17:14:48+00:00,1.51284e+18,  Tp emg ada jurnalny klo mau ngelawan omnicron dengan efektif harus minimal dosis ke 4 (pfizer ke 2) :) CMIIW,W_e_W_e_1_0,tp emg ada jurnalny klo mau ngelawan omnicron dengan efektif harus minimal dosis ke pfizer ke cmiiw,0.0,0.0,1.0,0.0,Neutral
8,8,2022-04-09 17:07:07+00:00,1.51284e+18,How are you going to “dios mios” me?!? That’s SAINT MICHAEL!!! ,Fallen_Cherub,how are you going to dios mios me that s saint michael,0.0,0.0,1.0,0.0,Neutral
9,9,2022-04-09 17:04:02+00:00,1.51284e+18, my face when I’m harassed by Albertan women who want me to pass of le omnicron. C’est la vie! ,CarlaHowellRee,my face when i m harassed by albertan women who want me to pass of le omnicron c est la vie,-0.4939,0.147,0.798,0.055,Negative
10,10,2022-04-09 16:54:58+00:00,1.51284e+18,_The_Panda Happy birthday 🙏🏽🙏🏽🙏🏽🫶🏾,Fallen_Cherub,the panda happy birthday,0.5719,0.0,0.448,0.552,Positive
11,11,2022-04-09 16:02:02+00:00,1.51282e+18, Udah jdi omnicron kak :(,applefiggs,udah jdi omnicron kak,0.0,0.0,1.0,0.0,Neutral
